datetime,temp_C,feels_like_C,humidity_%,pressure_hPa,wind_speed_m/s,clouds_%,weather
2025-10-11 09:22:01,33.07,31.69,27,1012,4.12,3,haze
2025-10-11 08:22:01,33.07,31.69,27,1012,4.12,2,haze
2025-10-11 07:22:01,32.07,31.02,31,1013,3.09,0,haze
2025-10-11 06:22:01,32.07,31.56,35,1014,2.06,0,haze
2025-10-11 05:22:01,30.07,30.84,48,1014,1.54,0,haze
2025-10-11 04:22:01,28.07,29.67,61,1014,0.0,0,smoke
2025-10-11 03:22:01,26.07,26.07,73,1014,1.54,0,smoke
2025-10-11 02:22:01,22.07,22.63,88,1013,1.54,0,mist
2025-10-11 01:22:01,22.07,22.63,88,1012,2.06,0,smoke
2025-10-11 00:22:01,22.07,22.63,88,1012,1.54,0,smoke
2025-10-10 23:22:01,23.07,23.47,78,1011,2.06,0,clear sky
2025-10-10 22:22:01,24.07,24.44,73,1011,1.03,0,clear sky
2025-10-10 21:22:01,25.07,25.43,69,1011,2.06,0,clear sky
2025-10-10 20:22:01,25.07,25.43,69,1012,2.06,0,clear sky
2025-10-10 19:22:01,25.07,25.43,69,1012,1.54,0,clear sky
2025-10-10 18:22:01,25.07,25.43,69,1012,2.57,0,clear sky
2025-10-10 17:22:01,25.07,25.33,65,1012,2.06,0,clear sky
2025-10-10 16:22:01,27.07,27.95,57,1012,2.57,0,clear sky
2025-10-10 15:22:01,27.07,27.95,57,1012,2.06,0,clear sky
2025-10-10 14:22:01,27.07,27.74,54,1011,2.57,0,clear sky
2025-10-10 13:22:01,29.07,28.59,39,1011,3.09,0,clear sky
2025-10-10 12:22:01,31.07,29.81,30,1011,4.63,0,clear sky
2025-10-10 11:22:01,32.07,30.78,29,1011,4.12,0,clear sky
2025-10-10 10:22:01,33.07,30.71,14,1011,4.63,20,haze
2025-10-10 09:22:14,34.07,32.24,22,1011,4.12,20,haze
2025-10-10 08:22:14,33.07,31.46,25,1012,5.14,0,haze
2025-10-10 07:22:14,33.07,31.69,27,1013,4.63,0,haze
2025-10-10 06:22:14,32.07,31.27,33,1014,3.6,0,haze
2025-10-10 05:22:14,31.07,30.34,35,1014,3.6,0,haze
2025-10-10 04:22:14,29.07,31.31,61,1014,2.57,0,haze
2025-10-10 03:22:14,26.07,26.07,83,1014,1.54,0,smoke
2025-10-10 02:22:14,23.07,23.73,88,1013,2.06,0,smoke
2025-10-10 01:22:14,23.07,23.6,83,1013,1.03,0,haze
2025-10-10 00:22:14,23.07,23.6,83,1012,2.06,0,haze
2025-10-09 23:22:14,24.07,24.57,78,1012,2.06,0,haze
2025-10-09 22:22:14,26.07,26.07,69,1012,2.06,0,haze
2025-10-09 21:22:14,26.07,26.07,73,1012,2.06,0,haze
2025-10-09 20:22:14,26.07,26.07,73,1013,2.06,0,haze
2025-10-09 19:22:14,26.07,26.07,73,1013,2.06,0,haze
2025-10-09 18:22:14,26.07,26.07,69,1014,3.09,0,haze
2025-10-09 17:22:14,25.07,25.43,69,1014,2.57,0,haze
2025-10-09 16:22:14,26.07,26.07,65,1014,2.57,0,haze
2025-10-09 15:22:14,27.07,28.25,61,1014,3.09,0,haze
2025-10-09 14:22:14,27.07,27.74,54,1013,2.06,0,haze
2025-10-09 13:22:14,28.07,27.87,42,1013,3.09,0,haze
2025-10-09 12:22:14,30.07,30.01,42,1012,5.14,0,haze
2025-10-09 11:22:14,31.07,30.34,35,1012,5.14,0,haze
2025-10-09 10:22:14,33.07,31.69,27,1012,4.63,0,haze
2025-10-09 09:22:27,34.07,32.24,22,1012,6.17,0,haze
2025-10-09 08:22:27,34.07,32.24,22,1013,2.57,0,haze
2025-10-09 07:22:27,34.07,32.47,24,1014,3.09,0,haze
2025-10-09 06:22:27,32.07,30.78,29,1015,2.06,0,haze
2025-10-09 05:22:27,30.07,29.66,39,1015,2.06,0,smoke
2025-10-09 04:22:27,28.07,29.22,57,1015,2.57,0,smoke
2025-10-09 03:22:27,26.07,26.07,69,1015,2.57,0,smoke
2025-10-09 02:22:27,22.07,22.63,88,1014,2.06,0,smoke
2025-10-09 01:22:27,22.07,22.63,88,1014,0.0,0,smoke
2025-10-09 00:22:27,22.07,22.5,83,1013,2.57,0,smoke
2025-10-08 23:22:27,22.07,22.5,83,1013,2.06,0,smoke
2025-10-08 22:22:27,23.07,23.21,68,1013,2.57,0,smoke
2025-10-08 21:22:27,26.07,26.07,61,1013,2.06,0,smoke
2025-10-08 20:22:27,25.07,25.33,65,1013,2.57,0,smoke
2025-10-08 19:22:27,25.07,25.33,65,1013,1.54,0,smoke
2025-10-08 18:22:27,25.07,25.23,61,1013,3.09,0,haze
2025-10-08 17:22:27,25.07,25.23,61,1013,1.54,0,haze
2025-10-08 16:22:27,26.07,26.07,57,1013,2.06,0,haze
2025-10-08 15:22:27,26.07,26.07,61,1012,2.06,0,haze
2025-10-08 14:22:27,27.07,27.48,50,1012,1.54,0,haze
2025-10-08 13:22:27,29.07,28.87,42,1011,2.57,0,haze
2025-10-08 12:22:27,30.07,29.24,35,1011,3.6,0,haze
2025-10-08 11:22:27,32.07,31.27,33,1011,4.12,0,haze
2025-10-08 10:22:27,32.07,30.78,29,1011,4.12,0,haze
2025-10-08 09:22:38,32.07,31.02,31,1011,3.6,0,haze
2025-10-08 08:22:38,33.07,31.17,22,1012,3.6,0,haze
2025-10-08 07:22:38,33.07,31.46,25,1013,0.0,0,haze
2025-10-08 06:22:38,30.07,29.24,35,1014,0.0,0,haze
2025-10-08 05:22:38,30.07,31.83,54,1014,2.06,0,haze
2025-10-08 04:22:38,28.07,29.67,61,1014,2.06,0,haze
2025-10-08 03:22:38,26.07,26.07,73,1013,1.54,0,smoke
2025-10-08 02:22:38,22.07,22.63,88,1013,1.54,0,smoke
2025-10-08 01:22:38,21.07,21.4,83,1012,1.54,0,smoke
2025-10-08 00:22:38,21.07,21.4,83,1011,2.06,0,smoke
2025-10-07 23:22:38,22.07,22.11,68,1011,2.06,0,smoke
2025-10-07 22:22:38,22.07,22.11,68,1011,2.57,0,smoke
2025-10-07 21:22:38,22.07,22.11,68,1011,2.57,0,smoke
2025-10-07 20:22:38,25.07,25.54,73,1011,3.09,0,smoke
2025-10-07 19:22:38,25.07,25.43,69,1012,2.57,0,haze
2025-10-07 18:22:38,25.07,25.23,61,1012,2.57,0,haze
2025-10-07 17:22:38,25.07,25.02,53,1011,3.09,0,haze
2025-10-07 16:22:38,25.07,24.86,47,1011,3.09,0,haze
2025-10-07 15:22:38,27.07,26.63,34,1011,2.06,0,haze
2025-10-07 14:22:38,27.07,26.63,34,1010,3.6,0,haze
2025-10-07 13:22:38,29.07,27.72,26,1010,3.09,0,haze
2025-10-07 12:22:38,31.07,29.23,22,1009,4.63,0,haze
2025-10-07 11:22:38,32.07,30.57,27,1009,5.14,0,haze
2025-10-07 10:22:38,32.07,30.16,22,1009,4.63,0,haze
2025-10-07 09:22:50,33.07,31.08,21,1009,2.57,0,haze
2025-10-07 08:22:50,30.1,30.73,47,1010,5.47,0,clear sky
2025-10-07 07:22:50,29.78,30.3,47,1011,4.78,0,clear sky
2025-10-07 06:22:50,29.25,29.99,50,1011,4.43,0,clear sky
2025-10-07 05:22:50,28.6,29.73,55,1011,4.55,0,clear sky
2025-10-07 04:22:50,27.85,29.23,60,1011,5.29,0,clear sky
2025-10-07 03:22:50,26.88,28.5,68,1010,5.77,0,clear sky
2025-10-07 02:22:50,26.07,26.07,73,1009,6.09,0,clear sky
2025-10-07 01:22:50,26.05,26.05,76,1008,7.1,0,clear sky
2025-10-07 00:22:50,26.09,26.09,77,1008,8.24,0,clear sky
2025-10-06 23:22:50,25.99,25.99,78,1008,5.14,0,clear sky
2025-10-06 22:22:50,26.24,26.24,74,1008,4.12,20,few clouds
2025-10-06 21:22:50,26.24,26.24,74,1008,4.12,20,few clouds
2025-10-06 20:22:50,26.24,26.24,74,1008,4.63,40,smoke
2025-10-06 19:22:50,26.77,28.77,74,1009,4.63,40,smoke
2025-10-06 18:22:50,26.77,28.77,74,1009,3.6,40,smoke
2025-10-06 17:22:50,26.73,29.15,80,1009,10.25,0,clear sky
2025-10-06 16:22:50,27.48,29.59,69,1009,6.17,20,smoke
2025-10-06 15:22:50,27.48,29.59,69,1009,5.14,0,smoke
2025-10-06 14:22:50,27.48,30.13,74,1009,5.14,0,smoke
2025-10-06 13:22:50,29.19,32.21,65,1007,8.23,0,haze
2025-10-06 12:22:50,30.05,32.53,58,1007,9.26,20,haze
2025-10-06 11:22:50,30.87,33.42,55,1007,8.75,20,haze
2025-10-06 10:22:50,32.47,34.02,45,1007,9.26,20,haze
2025-10-06 09:23:03,32.62,32.28,35,1007,7.2,20,haze
2025-10-06 08:23:03,32.77,31.86,31,1007,6.17,20,haze
2025-10-06 07:23:03,31.52,30.87,35,1009,6.17,20,haze
2025-10-06 06:23:03,31.37,32.25,45,1009,3.09,20,haze
2025-10-06 05:23:03,31.21,33.18,51,1009,7.72,20,haze
2025-10-06 04:23:03,27.64,32.04,86,1008,9.42,0,clear sky
2025-10-06 03:23:03,27.64,32.04,86,1008,9.42,0,clear sky
2025-10-06 02:23:03,27.69,31.07,78,1008,7.2,40,smoke
2025-10-06 01:23:03,27.02,29.6,78,1007,5.66,75,smoke
2025-10-06 00:23:03,27.02,29.6,78,1007,6.69,75,smoke
2025-10-05 23:23:03,26.9,29.79,83,1007,5.66,75,smoke
2025-10-05 22:23:03,27.18,30.46,83,1007,5.14,75,smoke
2025-10-05 21:23:03,27.3,30.2,78,1007,5.66,75,smoke
2025-10-05 20:23:03,27.3,30.2,78,1007,5.66,75,smoke
2025-10-05 19:23:03,27.67,31.03,78,1008,5.66,75,smoke
2025-10-05 18:23:03,27.67,31.03,78,1008,6.69,75,smoke
2025-10-05 17:23:03,27.67,31.03,78,1008,7.2,75,smoke
2025-10-05 16:23:03,28.15,32.16,78,1008,7.72,75,broken clouds
2025-10-05 15:23:03,28.15,32.16,78,1008,5.66,75,broken clouds
2025-10-05 14:23:03,28.15,32.16,78,1008,5.14,75,broken clouds
2025-10-05 13:23:03,29.95,35.91,74,1007,5.66,75,broken clouds
2025-10-05 12:23:03,30.1,35.28,70,1007,7.72,75,broken clouds
2025-10-05 11:23:03,30.25,33.75,62,1007,6.17,75,broken clouds
2025-10-05 10:23:03,31.66,38.1,66,1007,5.14,75,broken clouds
2025-10-05 09:23:14,31.66,36.87,62,1007,7.72,75,broken clouds
2025-10-05 08:23:14,31.81,37.23,62,1007,9.26,40,haze
2025-10-05 07:23:14,31.26,34.89,58,1009,6.69,40,haze
2025-10-05 06:23:14,31.26,34.89,58,1009,6.69,40,haze
2025-10-05 05:23:14,31.11,37.9,70,1009,6.69,75,smoke
2025-10-05 04:23:14,27.86,32.66,86,1009,5.15,43,scattered clouds
2025-10-05 03:23:14,28.01,31.97,79,1009,3.6,40,smoke
2025-10-05 02:23:14,27.77,32.87,89,1009,2.06,40,smoke
2025-10-05 01:23:14,27.16,31.08,89,1008,2.06,40,smoke
2025-10-05 00:23:14,27.16,31.08,89,1008,2.06,40,smoke
2025-10-04 23:23:14,27.16,31.08,89,1008,3.09,40,smoke
2025-10-04 22:23:14,27.44,31.89,89,1008,3.09,40,smoke
2025-10-04 21:23:14,27.44,31.89,89,1008,2.57,40,smoke
2025-10-04 20:23:14,27.44,31.89,89,1008,4.12,40,smoke
2025-10-04 19:23:14,27.82,33.02,89,1009,3.09,40,smoke
2025-10-04 18:23:14,27.94,32.41,83,1009,3.09,40,smoke
2025-10-04 17:23:14,27.94,32.41,83,1009,3.09,40,smoke
2025-10-04 16:23:14,28.72,34.58,83,1009,3.6,40,smoke
2025-10-04 15:23:14,28.72,34.58,83,1009,3.09,40,smoke
2025-10-04 14:23:14,28.72,34.58,83,1009,3.6,40,smoke
2025-10-04 13:23:14,30.42,37.19,74,1007,4.12,75,smoke
2025-10-04 12:23:14,30.85,33.39,55,1007,4.63,40,haze
2025-10-04 11:23:14,31.06,32.92,51,1007,5.14,40,haze
2025-10-04 10:23:14,33.54,36.21,46,1007,3.6,75,haze
2025-10-04 09:23:25,33.39,37.4,51,1007,3.6,75,haze
2025-10-04 08:23:25,33.39,38.71,55,1007,4.63,75,smoke
2025-10-04 07:23:25,31.42,35.22,58,1010,4.12,75,smoke
2025-10-04 06:23:25,31.27,35.96,62,1010,4.12,75,smoke
